Tarih,KDV,"Kurþunsuz Benzin 95 
(Ultra Force 95)","Motorin 
(Ultra Force)","Motorin 
(Eco Force)",Gazyaðý
01.01.2022,(KDV'li),12.93 TL/LT,12.78 TL/LT,12.75 TL/LT,11.53 TL/LT
05.01.2022,(KDV'li),12.94 TL/LT,12.8 TL/LT,12.77 TL/LT,11.53 TL/LT
07.01.2022,(KDV'li),12.94 TL/LT,12.8 TL/LT,12.77 TL/LT,12.23 TL/LT
08.01.2022,(KDV'li),13.57 TL/LT,13.74 TL/LT,13.71 TL/LT,12.6 TL/LT
12.01.2022,(KDV'li),13.59 TL/LT,13.78 TL/LT,13.75 TL/LT,12.6 TL/LT
14.01.2022,(KDV'li),13.59 TL/LT,13.78 TL/LT,13.75 TL/LT,13.26 TL/LT
19.01.2022,(KDV'li),13.59 TL/LT,14.3 TL/LT,14.27 TL/LT,13.26 TL/LT
20.01.2022,(KDV'li),14.05 TL/LT,14.3 TL/LT,14.27 TL/LT,13.26 TL/LT
21.01.2022,(KDV'li),14.05 TL/LT,14.3 TL/LT,14.27 TL/LT,13.26 TL/LT
25.01.2022,(KDV'li),14.07 TL/LT,14.32 TL/LT,14.29 TL/LT,13.26 TL/LT
02.02.2022,(KDV'li),14.46 TL/LT,14.64 TL/LT,14.61 TL/LT,13.26 TL/LT
03.02.2022,(KDV'li),14.49 TL/LT,14.67 TL/LT,14.64 TL/LT,13.26 TL/LT
04.02.2022,(KDV'li),14.47 TL/LT,14.65 TL/LT,14.62 TL/LT,13.26 TL/LT
05.02.2022,(KDV'li),14.47 TL/LT,14.65 TL/LT,14.62 TL/LT,13.83 TL/LT
08.02.2022,(KDV'li),14.47 TL/LT,15.45 TL/LT,15.42 TL/LT,14.43 TL/LT
09.02.2022,(KDV'li),15.18 TL/LT,15.45 TL/LT,15.42 TL/LT,14.43 TL/LT
10.02.2022,(KDV'li),15.2 TL/LT,15.45 TL/LT,15.42 TL/LT,14.43 TL/LT
11.02.2022,(KDV'li),15.2 TL/LT,15.47 TL/LT,15.44 TL/LT,14.43 TL/LT
19.02.2022,(KDV'li),15.15 TL/LT,15.51 TL/LT,15.48 TL/LT,14.43 TL/LT
26.02.2022,(KDV'li),16.78 TL/LT,17.03 TL/LT,17 TL/LT,14.43 TL/LT
01.03.2022,(KDV'li),16.56 TL/LT,16.09 TL/LT,16.06 TL/LT,14.43 TL/LT
02.03.2022,(KDV'li),16.56 TL/LT,16.1 TL/LT,16.07 TL/LT,15.28 TL/LT
03.03.2022,(KDV'li),17.44 TL/LT,17.62 TL/LT,17.59 TL/LT,16.53 TL/LT
04.03.2022,(KDV'li),17.99 TL/LT,18.96 TL/LT,18.93 TL/LT,17.83 TL/LT
05.03.2022,(KDV'li),18.69 TL/LT,19.81 TL/LT,19.78 TL/LT,18.73 TL/LT
08.03.2022,(KDV'li),19.27 TL/LT,21.25 TL/LT,21.22 TL/LT,19.93 TL/LT
09.03.2022,(KDV'li),20.36 TL/LT,22.86 TL/LT,22.83 TL/LT,21.58 TL/LT
10.03.2022,(KDV'li),20.36 TL/LT,22.86 TL/LT,22.83 TL/LT,23.62 TL/LT
11.03.2022,(KDV'li),20.36 TL/LT,22.86 TL/LT,22.83 TL/LT,21.59 TL/LT
12.03.2022,(KDV'li),20.4 TL/LT,22.92 TL/LT,22.89 TL/LT,19.3 TL/LT
15.03.2022,(KDV'li),20.4 TL/LT,20.55 TL/LT,20.52 TL/LT,19.3 TL/LT
16.03.2022,(KDV'li),18.72 TL/LT,19.72 TL/LT,19.68 TL/LT,19.3 TL/LT
17.03.2022,(KDV'li),18.11 TL/LT,18.73 TL/LT,18.69 TL/LT,17.87 TL/LT
18.03.2022,(KDV'li),18.11 TL/LT,18.73 TL/LT,18.69 TL/LT,17.87 TL/LT
19.03.2022,(KDV'li),18.11 TL/LT,20.69 TL/LT,20.65 TL/LT,20.02 TL/LT
23.03.2022,(KDV'li),19.79 TL/LT,22.29 TL/LT,22.25 TL/LT,21.67 TL/LT
25.03.2022,(KDV'li),19.81 TL/LT,23.68 TL/LT,23.63 TL/LT,22.86 TL/LT
30.03.2022,(KDV'li),19.81 TL/LT,22.14 TL/LT,22.09 TL/LT,21.41 TL/LT
31.03.2022,(KDV'li),19.81 TL/LT,21.26 TL/LT,21.21 TL/LT,20.6 TL/LT
01.04.2022,(KDV'li),19.81 TL/LT,21.26 TL/LT,21.21 TL/LT,20.6 TL/LT
02.04.2022,(KDV'li),19.01 TL/LT,21.29 TL/LT,21.24 TL/LT,20.6 TL/LT
08.04.2022,(KDV'li),19.01 TL/LT,21.29 TL/LT,21.24 TL/LT,20.6 TL/LT
09.04.2022,(KDV'li),19.01 TL/LT,21.29 TL/LT,21.24 TL/LT,20.6 TL/LT
12.04.2022,(KDV'li),19.01 TL/LT,20.25 TL/LT,20.2 TL/LT,20.6 TL/LT
14.04.2022,(KDV'li),19.01 TL/LT,20.28 TL/LT,20.23 TL/LT,20.6 TL/LT
